dataset	family	model_key	triplet_score	dataset_rank_int	layer_name	layer_index	family_rank
kadid10k	CLIP	clip_vit_b16	0.9653600729261622	10	hidden_state_012	12	3
kadid10k	CLIP	clip_vit_b32	0.955788514129444	14	hidden_state_011	11	4
kadid10k	ConvNeXt	convnext_tiny	0.8240656335460346	45	hidden_state_004	4	1
kadid10k	ConvNeXt	convnext_small	0.7702825888787602	52	hidden_state_004	4	2
kadid10k	ConvNeXt	convnext_base	0.7443026435733819	54	hidden_state_004	4	3
kadid10k	ConvNeXt	convnext_large	0.7046490428441203	62	hidden_state_004	4	4
kadid10k	DINO	dino_vits8	0.7876025524156791	49	hidden_state_012	12	1
kadid10k	DINO	dino_vits16	0.7365542388331814	55	hidden_state_012	12	2
kadid10k	DINO	dino_vitb8	0.6422060164083865	67	hidden_state_012	12	3
kadid10k	DINO	dino_vitb16	0.5656335460346399	72	hidden_state_012	12	4
kadid10k	DINOv2	dinov2_large	0.9448495897903373	15	hidden_state_024	24	1
kadid10k	DINOv2	dinov2_base	0.9398359161349135	16	hidden_state_011	11	2
kadid10k	DINOv2	dinov2_small	0.9243391066545124	25	hidden_state_011	11	3
kadid10k	DINOv2	dinov2_giant	0.915679124886053	29	hidden_state_040	40	4
kadid10k	DINOv3	dinov3_vits16plus	0.9170464904284412	28	block_009	9	1
kadid10k	DINOv3	dinov3_vits16	0.8833181403828624	38	block_010	10	2
kadid10k	DINOv3	dinov3_vitb16	0.881950774840474	39	block_010	10	3
kadid10k	DINOv3	dinov3_vitl16	0.8596171376481312	41	block_021	21	4
kadid10k	DINOv3	dinov3_vith16plus	0.8427529626253418	42	block_030	30	5
kadid10k	DINOv3	dinov3_vit7b16	0.833637192342753	43	block_035	35	6
kadid10k	FastViT	fastvit_t8	0.9279854147675479	22	feature_map_003	3	1
kadid10k	FastViT	fastvit_t12	0.9029170464904285	33	feature_map_003	3	2
kadid10k	FastViT	fastvit_s12	0.8874202370100273	37	feature_map_003	3	3
kadid10k	FastViT	fastvit_sa12	0.8299908842297175	44	feature_map_003	3	4
kadid10k	FastViT	fastvit_sa24	0.7825888787602553	50	feature_map_003	3	5
kadid10k	FastViT	fastvit_ma36	0.7051048313582498	61	feature_map_002	2	6
kadid10k	FastViT	fastvit_sa36	0.6886964448495898	64	feature_map_003	3	7
kadid10k	FastViTHD	fastvithd_05b	0.9981768459434823	2	block_043	43	1
kadid10k	FastViTHD	fastvithd_15b	0.9963536918869644	3	block_043	43	2
kadid10k	FastViTHD	fastvithd_7b	0.9817684594348223	6	block_043	43	3
kadid10k	I-JEPA	ijepa_vith14	0.7247037374658158	59	hidden_state_002	2	1
kadid10k	InternViT	internvit_6b_v25	0.7260711030082042	58	hidden_state_045	45	1
kadid10k	InternViT	internvit_300m_v25	0.6873290793072016	65	hidden_state_020	20	2
kadid10k	InternViT	internvit_300m	0.46946216955332726	75	hidden_state_010	10	3
