dataset	model_key	family	layer_index	layer_name	triplet_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
PieAPP	convnext_base	ConvNeXt	2	hidden_state_002	0.3869644484958979	2	0.5783836996336997	74.0	74
PieAPP	convnext_large	ConvNeXt	2	hidden_state_002	0.5818140382862351	2	0.5853067765567768	64.0	64
PieAPP	convnext_small	ConvNeXt	2	hidden_state_002	0.44621695533272565	2	0.5805219780219784	70.0	70
PieAPP	convnext_tiny	ConvNeXt	2	hidden_state_002	0.746809480401094	2	0.5909706959706962	51.0	51
PieAPP	dino_vitb16	DINO	2	hidden_state_002	0.9753874202370101	2	0.608585164835165	7.0	7
PieAPP	dino_vitb8	DINO	2	hidden_state_002	0.9425706472196901	2	0.6008928571428573	14.0	14
PieAPP	dino_vits16	DINO	2	hidden_state_002	0.9535095715587967	2	0.6023992673992675	10.0	9
PieAPP	dino_vits8	DINO	2	hidden_state_002	0.951686417502279	2	0.6025183150183153	12.0	12
PieAPP	dinov2_base	DINOv2	1	hidden_state_001	0.8664539653600729	2	0.5948809523809526	32.0	32
PieAPP	dinov2_giant	DINOv2	3	hidden_state_003	0.8268003646308113	2	0.5930219780219783	38.0	38
PieAPP	dinov2_large	DINOv2	4	hidden_state_004	0.4512306289881495	2	0.5810714285714287	69.0	69
PieAPP	dinov2_small	DINOv2	11	hidden_state_011	0.6987237921604376	2	0.5894322344322347	57.0	57
PieAPP	dinov3_vit7b16	DINOv3	21	block_021	0.8505013673655424	2	0.5946749084249086	35.0	35
PieAPP	dinov3_vitb16	DINOv3	1	block_001	0.7962625341841385	2	0.5922893772893776	48.0	48
PieAPP	dinov3_vith16plus	DINOv3	16	block_016	0.7515952597994531	2	0.5909111721611725	49.0	49
PieAPP	dinov3_vitl16	DINOv3	11	block_011	0.8742023701002735	2	0.5952014652014654	30.0	30
PieAPP	dinov3_vits16	DINOv3	7	block_007	0.8910665451230629	2	0.596309523809524	27.0	27
PieAPP	dinov3_vits16plus	DINOv3	0	block_000	0.9051959890610757	2	0.5973534798534801	25.0	25
PieAPP	fastvit_ma36	FastViT	2	feature_map_002	0.8117593436645396	2	0.5931868131868134	45.0	45
PieAPP	fastvit_s12	FastViT	3	feature_map_003	0.8240656335460347	2	0.5930586080586084	40.0	40
