model_key	family	quality_rank_correct	global_quality_score_correct	global_best_layer_correct	global_best_layer_index_correct	dataset_count_correct	headline_eligible_correct	quality_rank_wrong	global_quality_score_wrong	global_best_layer_wrong	global_best_layer_index_wrong	dataset_count_wrong	headline_eligible_wrong	delta_quality_score	abs_quality_delta	delta_rank	abs_rank_delta	layer_changed	headline_eligible
dinov3_vitl16	DINOv3	29	0.8640508828996283	block_015	15	4	True	32	0.8132730739795074	block_008	8	4	True	0.05077780892012085	0.05077780892012085	3	3	True	True
fastvit_sa24	FastViT	60	0.6677509293680297	feature_map_002	2	4	True	50	0.7184179028540516	feature_map_002	2	4	True	-0.05066697348602189	0.05066697348602189	-10	10	False	True
dinov3_vith16plus	DINOv3	43	0.8025964219330856	block_018	18	4	True	25	0.8387268091115275	block_007	7	4	True	-0.03613038717844197	0.03613038717844197	-18	18	True	True
vit_huge	ViT	42	0.8027416356877324	hidden_state_029	29	4	True	27	0.8363343942719543	hidden_state_010	10	4	True	-0.03359275858422195	0.03359275858422195	-15	15	True	True
vit_base	ViT	49	0.7690520446096654	canonical_embedding	13	4	True	35	0.7976150990766571	hidden_state_004	4	4	True	-0.0285630544669917	0.0285630544669917	-14	14	True	True
dinov3_vit7b16	DINOv3	31	0.8586779739776952	block_021	21	4	True	29	0.8313075235090521	block_011	11	4	True	0.02737045046864306	0.02737045046864306	-2	2	True	True
fastvit_sa12	FastViT	56	0.7115473977695167	feature_map_003	3	4	True	48	0.7367401474169973	feature_map_001	1	4	True	-0.02519274964748064	0.02519274964748064	-8	8	True	True
vit_large	ViT	51	0.7663801115241635	hidden_state_022	22	4	True	36	0.7900410874676081	hidden_state_006	6	4	True	-0.02366097594344463	0.02366097594344463	-15	15	True	True
fastvit_ma36	FastViT	45	0.7830506505576208	feature_map_002	2	4	True	33	0.8061540452729097	feature_map_001	1	4	True	-0.023103394715288883	0.023103394715288883	-12	12	True	True
fastvit_t12	FastViT	57	0.7041124535315986	feature_map_003	3	4	True	56	0.6856903478537286	feature_map_000	0	4	True	0.01842210567786995	0.01842210567786995	-1	1	True	True
resnet50	ResNet	33	0.8542634758364313	hidden_state_004	4	4	True	26	0.8377008924994424	hidden_state_002	2	4	True	0.0165625833369889	0.0165625833369889	-7	7	True	True
resnext101_32x8d	ResNeXt	20	0.884235594795539	feature_map_003	3	4	True	17	0.8996033872160921	feature_map_002	2	4	True	-0.015367792420553084	0.015367792420553084	-3	3	True	True
dinov3_vitb16	DINOv3	38	0.8334979089219331	block_010	10	4	True	24	0.8476175365539675	block_003	3	4	True	-0.014119627632034448	0.014119627632034448	-14	14	True	True
resnext50_32x4d	ResNeXt	26	0.8687267657992566	feature_map_003	3	4	True	19	0.8827874457661398	feature_map_002	2	4	True	-0.014060679966883205	0.014060679966883205	-7	7	True	True
dino_vitb8	DINO	35	0.8454925650557621	hidden_state_012	12	4	True	28	0.8360320547459287	hidden_state_004	4	4	True	0.009460510309833414	0.009460510309833414	-7	7	True	True
swin_small	Swin	65	0.5534677044609666	hidden_state_003	3	4	True	69	0.5601028957290837	hidden_state_002	2	4	True	-0.006635191268117069	0.006635191268117069	4	4	True	True
vit_tiny	ViT	4	0.9396491635687733	block_010	10	4	True	14	0.9346020863720389	block_003	3	4	True	0.005047077196734362	0.005047077196734362	10	10	True	True
convnext_tiny	ConvNeXt	59	0.7020504182156133	canonical_embedding	5	4	True	53	0.7001034589793049	hidden_state_002	2	4	True	0.0019469592363083876	0.0019469592363083876	-6	6	True	True
