family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
FastViTHD	fastvithd_15b	scc	0.6881310340243676	0.10441471685981031	43.75	4	5	block_005	0.6616052576822649	1
FastViTHD	fastvithd_05b	scc	0.6841385504729334	0.0911210461226035	43.75	4	18	block_018	0.6532951489859444	2
FastViTHD	fastvithd_7b	scc	0.6657967101315478	0.10919483508345063	46.0	4	18	block_018	0.6470931785330348	3
I-JEPA	ijepa_vith14	scc	0.7949162552308763	0.08984800014873832	28.5	4	21	hidden_state_021	0.7921862366435156	1
InternViT	internvit_6b_v25	scc	0.9319442155169213	0.0689638513000335	11.5	4	23	hidden_state_023	0.9124672640072581	1
InternViT	internvit_300m_v25	scc	0.9313805614627941	0.04980656513450683	11.25	4	9	hidden_state_009	0.9313805614627941	2
InternViT	internvit_300m	scc	0.8983840966214777	0.0549644391995354	15.75	4	8	hidden_state_008	0.8900172957315887	3
MAE	vit_mae_large	scc	0.9487690111610985	0.04631896113632604	9.125	4	8	hidden_state_008	0.9361028518515658	1
MAE	vit_mae_huge	scc	0.9265783966850603	0.05896838800442523	12.0	4	7	hidden_state_007	0.9149570923765014	2
MAE	vit_mae_base	scc	0.8755508624619772	0.03428305431475415	19.0	4	3	hidden_state_003	0.8746962589979845	3
ResNeXt	resnext101_32x8d	scc	0.8008732706345342	0.033252069834643766	27.0	4	2	feature_map_002	0.8008732706345342	1
ResNeXt	resnext50_32x4d	scc	0.7521941276734411	0.040752728230659556	33.5	4	2	feature_map_002	0.7521941276734411	2
ResNet	resnet18	scc	0.752688751295512	0.015340679365238847	35.0	4	1	hidden_state_001	0.7339271341951402	1
ResNet	resnet50	scc	0.7308112283177342	0.061661410133345924	37.0	4	2	hidden_state_002	0.7272099272024926	2
ResNet	resnet101	scc	0.726182985109779	0.039207414520463696	37.25	4	2	hidden_state_002	0.726182985109779	3
ResNet	resnet152	scc	0.7103998837152167	0.06266776967589005	41.5	4	2	hidden_state_002	0.7103998837152167	4
ResNet	resnet34	scc	0.7091454537213692	0.0665862366877611	41.75	4	1	hidden_state_001	0.7091454537213692	5
SigLIP	siglip_so400m	scc	0.9551081885149753	0.03293127267435983	8.25	4	7	hidden_state_007	0.9321675308814745	1
SigLIP	siglip_large	scc	0.9251951089680124	0.017612604518277387	13.25	4	8	hidden_state_008	0.9125018508486499	2
SigLIP	siglip_base	scc	0.8024780652270128	0.06800807259862625	28.75	4	2	hidden_state_002	0.7986444221043362	3
SigLIP2	siglip2_large	scc	0.1697117892402965	0.06754958501488893	71.5	4	1	pooler_output	0.16268344351538944	1
SigLIP2	siglip2_so400m	scc	0.16935105866605396	0.06897800017486422	71.25	4	1	pooler_output	0.16935105866605396	2
SigLIP2	siglip2_base_naflex	scc	0.08518719948378119	0.02016872427795048	74.0	4	1	pooler_output	0.08518719948378119	3
SigLIP2	siglip2_base	scc	0.08153561695285552	0.018975802433146886	73.75	4	1	pooler_output	0.08153561695285552	4
Swin	swin_base	scc	0.6142715046169127	0.04155031796337635	56.0	4	3	hidden_state_003	0.5835442741336413	1
Swin	swin_tiny	scc	0.58685979497378	0.03997311484701997	59.5	4	2	hidden_state_002	0.58685979497378	2
Swin	swin_large	scc	0.5673921286971363	0.08440837353386396	59.75	4	1	hidden_state_001	0.5312240182585193	3
Swin	swin_small	scc	0.5231783873459338	0.04206120257590311	67.5	4	2	hidden_state_002	0.5149892321342684	4
SwinV2	swinv2_large	scc	0.6453075493944269	0.07003809864425656	53.5	4	3	hidden_state_003	0.6399055977215644	1
SwinV2	swinv2_tiny	scc	0.6137996954175949	0.043595548842724825	54.5	4	2	hidden_state_002	0.6137996954175949	2
SwinV2	swinv2_base	scc	0.5678912470673088	0.032777243697467005	61.75	4	2	hidden_state_002	0.5678912470673088	3
SwinV2	swinv2_small	scc	0.5340136502870847	0.04910816242662463	65.5	4	2	hidden_state_002	0.5340136502870847	4
VGG	vgg19_bn	scc	0.8193999694719155	0.02554326210837717	26.25	4	2	feature_map_002	0.8193999694719155	1
VGG	vgg16_bn	scc	0.7431112190666105	0.015985645250619386	35.25	4	1	feature_map_001	0.7082022827247183	2
VGG	vgg11_bn	scc	0.7420348443906016	0.03376312318979636	36.75	4	2	feature_map_002	0.7420348443906016	3
VGG	vgg13	scc	0.692901770659766	0.027575194091506664	42.0	4	1	feature_map_001	0.692901770659766	4
VGG	vgg13_bn	scc	0.6846215055228811	0.029766640328467472	44.0	4	1	feature_map_001	0.6846215055228811	5
VGG	vgg16	scc	0.6789689736443487	0.025105153540503335	45.125	4	1	feature_map_001	0.6789689736443487	6
VGG	vgg19	scc	0.6635343797197215	0.019623589497863508	48.375	4	1	feature_map_001	0.6635343797197215	7
VGG	vgg11	scc	0.5805899924283494	0.024803827658231303	61.5	4	2	feature_map_002	0.578880785500364	8
ViT	vit_tiny	scc	0.9383269626410247	0.022621130562593652	11.25	4	3	block_003	0.9383269626410247	1
ViT	vit_small	scc	0.9256179518672041	0.04107026722293102	12.25	4	3	block_003	0.9229971679109596	2
ViT	vit_huge	scc	0.8920415120346898	0.06124137886512301	17.25	4	10	hidden_state_010	0.8724391278897703	3
ViT	vit_large	scc	0.8277310912849258	0.12273213395835035	26.25	4	6	hidden_state_006	0.8054442695794995	4
ViT	vit_base	scc	0.82491525566096	0.12735510220755336	28.25	4	3	hidden_state_003	0.8110856642270732	5
