model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
dinov3_vit7b16	DINOv3	3	block_003	0.4038286235186873	0.13992707383773928	0.736098450319052	7
dinov3_vit7b16	DINOv3	4	block_004	0.3839692668316187	0.18596171376481313	0.7101185050136736	7
dinov3_vit7b16	DINOv3	5	block_005	0.37797890350306024	0.2529626253418414	0.7233363719234275	7
dinov3_vit7b16	DINOv3	6	block_006	0.42183226982680033	0.2123974475843209	0.7611668185961714	7
dinov3_vit7b16	DINOv3	7	block_007	0.4807592134392499	0.17183226982680033	0.7702825888787602	7
dinov3_vit7b16	DINOv3	8	block_008	0.5312540695403047	0.14448495897903368	0.7876025524156791	7
dinov3_vit7b16	DINOv3	9	block_009	0.5707123323349395	0.12260711030082039	0.7752962625341842	7
dinov3_vit7b16	DINOv3	10	block_010	0.608412553717932	0.1280765724703738	0.8313582497721057	7
dinov3_vit7b16	DINOv3	11	block_011	0.6285323609845033	0.10391978122151324	0.9161349134001823	7
dinov3_vit7b16	DINOv3	12	block_012	0.6333181403828624	0.0802187784867821	0.9412032816773017	7
dinov3_vit7b16	DINOv3	13	block_013	0.6396015106133611	0.08204193254329989	0.9576116681859617	7
dinov3_vit7b16	DINOv3	14	block_014	0.6386573772626644	0.0920692798541477	0.9535095715587967	7
dinov3_vit7b16	DINOv3	15	block_015	0.6354343013413205	0.09161349134001823	0.9462169553327255	7
dinov3_vit7b16	DINOv3	16	block_016	0.6437687198854017	0.12443026435733823	0.9416590701914311	7
dinov3_vit7b16	DINOv3	17	block_017	0.6429222555020184	0.14585232452142205	0.9375569735642661	7
dinov3_vit7b16	DINOv3	18	block_018	0.6507357728870947	0.18231540565177756	0.93436645396536	7
dinov3_vit7b16	DINOv3	19	block_019	0.661935147805704	0.2479489516864175	0.9366453965360073	7
dinov3_vit7b16	DINOv3	20	block_020	0.6936450058601381	0.20783956244302648	0.9357338195077485	7
dinov3_vit7b16	DINOv3	21	block_021	0.7006771715067066	0.18641750227894255	0.9375569735642661	7
dinov3_vit7b16	DINOv3	22	block_022	0.6956634978512827	0.16226071103008205	0.9298085688240656	7
dinov3_vit7b16	DINOv3	23	block_023	0.7074488865737727	0.14813126709206925	0.9430264357338195	7
dinov3_vit7b16	DINOv3	24	block_024	0.712527672874072	0.13309024612579762	0.9421148587055606	7
dinov3_vit7b16	DINOv3	25	block_025	0.7146763901549681	0.12306289881494986	0.9352780309936191	7
dinov3_vit7b16	DINOv3	26	block_026	0.6952077093371533	0.11030082041932543	0.9275296262534185	7
dinov3_vit7b16	DINOv3	27	block_027	0.6886964448495897	0.10574293527803097	0.922060164083865	7
dinov3_vit7b16	DINOv3	28	block_028	0.682250293006902	0.09617137648131263	0.9165907019143118	7
dinov3_vit7b16	DINOv3	29	block_029	0.6630420627685896	0.08751139471285324	0.9074749316317229	7
dinov3_vit7b16	DINOv3	30	block_030	0.6523635890089856	0.08113035551504105	0.8938012762078396	7
dinov3_vit7b16	DINOv3	31	block_031	0.6505404349524678	0.0788514129443938	0.8828623518687329	7
