model_key	family	layer_index	layer_name	mean_alignment	min_alignment	max_alignment	dataset_count
internvit_300m_v25	InternViT	17	hidden_state_017	0.4510726456009913	0.4138785625774473	0.49759913258983896	4
internvit_300m_v25	InternViT	18	hidden_state_018	0.4544996902106567	0.4227850061957869	0.5024783147459727	4
internvit_300m_v25	InternViT	19	hidden_state_019	0.41194237918215615	0.36291821561338294	0.49481102850061953	4
internvit_300m_v25	InternViT	20	hidden_state_020	0.33325588599752165	0.24868339529120198	0.4721189591078067	4
internvit_300m_v25	InternViT	21	hidden_state_021	0.17659928748451054	0.06280978934324659	0.3458023543990087	4
internvit_300m_v25	InternViT	22	hidden_state_022	0.07824117100371746	0.0280359355638166	0.15171933085501857	4
internvit_300m_v25	InternViT	23	hidden_state_023	0.042963909541511774	0.012081784386617092	0.07798946716232961	4
internvit_300m_v25	InternViT	24	hidden_state_024	0.04294454770755885	0.011384758364312261	0.07915117719950433	4
internvit_300m_v25	InternViT	25	pooler_output	0.04294454770755885	0.011384758364312261	0.07915117719950433	4
internvit_6b_v25	InternViT	1	hidden_state_001	0.010629646840148698	0.0015489467162329573	0.02091078066914499	4
internvit_6b_v25	InternViT	2	hidden_state_002	0.0065249380421313575	0.0003097893432465841	0.018974597273853793	4
internvit_6b_v25	InternViT	3	hidden_state_003	0.03974984510532837	0.013708178438661697	0.06784386617100371	4
internvit_6b_v25	InternViT	4	hidden_state_004	0.0423636926889715	0.016263940520446118	0.07117410161090458	4
internvit_6b_v25	InternViT	5	hidden_state_005	0.06937345105328376	0.024938042131350664	0.09673172242874843	4
internvit_6b_v25	InternViT	6	hidden_state_006	0.0997134448574969	0.03996282527881042	0.12252168525402728	4
internvit_6b_v25	InternViT	7	hidden_state_007	0.15727617719950435	0.09270446096654276	0.18897149938042132	4
internvit_6b_v25	InternViT	8	hidden_state_008	0.1809169764560099	0.11833952912019825	0.21964064436183395	4
internvit_6b_v25	InternViT	9	hidden_state_009	0.21679445477075587	0.14358736059479552	0.2696716232961586	4
internvit_6b_v25	InternViT	10	hidden_state_010	0.23998993184634448	0.18122676579925648	0.2804368029739777	4
internvit_6b_v25	InternViT	11	hidden_state_011	0.27489931846344484	0.21894361833952913	0.31288723667905827	4
internvit_6b_v25	InternViT	12	hidden_state_012	0.374554677819083	0.3272149938042131	0.4083023543990087	4
internvit_6b_v25	InternViT	13	hidden_state_013	0.43099442379182157	0.4067534076827757	0.45841078066914503	4
internvit_6b_v25	InternViT	14	hidden_state_014	0.49835424411400253	0.4611214374225527	0.5670693928128873	4
internvit_6b_v25	InternViT	15	hidden_state_015	0.5325859665427509	0.5020136307311028	0.615086741016109	4
internvit_6b_v25	InternViT	16	hidden_state_016	0.5894710346964065	0.5224597273853779	0.7436493184634448	4
internvit_6b_v25	InternViT	17	hidden_state_017	0.6209727385377943	0.5386462205700123	0.8187732342007434	4
internvit_6b_v25	InternViT	18	hidden_state_018	0.6163646220570013	0.5329925650557621	0.8202447335811648	4
internvit_6b_v25	InternViT	19	hidden_state_019	0.6079615861214375	0.5297397769516728	0.7803593556381662	4
internvit_6b_v25	InternViT	20	hidden_state_020	0.6099752168525403	0.5247057001239157	0.7938351920693928	4
internvit_6b_v25	InternViT	21	hidden_state_021	0.6146414188351921	0.5305142503097894	0.8018122676579926	4
internvit_6b_v25	InternViT	22	hidden_state_022	0.615106102850062	0.5271065675340768	0.8124225526641884	4
internvit_6b_v25	InternViT	23	hidden_state_023	0.6164420693928129	0.5218401486988847	0.8358890954151178	4
internvit_6b_v25	InternViT	24	hidden_state_024	0.615764405204461	0.519594175960347	0.8413104089219331	4
internvit_6b_v25	InternViT	25	hidden_state_025	0.5977385377942999	0.5094485749690211	0.8052199504337051	4
internvit_6b_v25	InternViT	26	hidden_state_026	0.5891612453531598	0.5034076827757126	0.7877168525402727	4
internvit_6b_v25	InternViT	27	hidden_state_027	0.569993029739777	0.4798636926889715	0.7606102850061958	4
internvit_6b_v25	InternViT	28	hidden_state_028	0.5564010223048327	0.47366790582403967	0.7498451053283768	4
internvit_6b_v25	InternViT	29	hidden_state_029	0.5256544299876085	0.4611988847583643	0.6984200743494423	4
internvit_6b_v25	InternViT	30	hidden_state_030	0.49910935563816605	0.4479553903345725	0.6225991325898389	4
internvit_6b_v25	InternViT	31	hidden_state_031	0.48524628252788105	0.43688042131350685	0.5837980173482032	4
internvit_6b_v25	InternViT	32	hidden_state_032	0.44448962205700127	0.3815055762081785	0.5084417596034697	4
internvit_6b_v25	InternViT	33	hidden_state_033	0.4512856257744734	0.40272614622057	0.5058085501858737	4
internvit_6b_v25	InternViT	34	hidden_state_034	0.44452834572490707	0.3722118959107807	0.5179677819083023	4
internvit_6b_v25	InternViT	35	hidden_state_035	0.47939900867410157	0.4161245353159851	0.5483271375464683	4
internvit_6b_v25	InternViT	36	hidden_state_036	0.38652029120198267	0.2522459727385378	0.5535935563816605	4
internvit_6b_v25	InternViT	37	hidden_state_037	0.3934324659231722	0.27942998760842624	0.5579306071871127	4
internvit_6b_v25	InternViT	38	hidden_state_038	0.3972854708798017	0.29406753407682773	0.5313661710037175	4
internvit_6b_v25	InternViT	39	hidden_state_039	0.40334572490706316	0.3254337050805452	0.5685408921933085	4
internvit_6b_v25	InternViT	40	hidden_state_040	0.4173830545229244	0.34433085501858735	0.5950278810408922	4
internvit_6b_v25	InternViT	41	hidden_state_041	0.3564707249070632	0.23466542750929367	0.47142193308550184	4
internvit_6b_v25	InternViT	42	hidden_state_042	0.3990086741016109	0.27276951672862454	0.5278035935563817	4
internvit_6b_v25	InternViT	43	hidden_state_043	0.4349442379182156	0.29701053283767037	0.5549876084262702	4
internvit_6b_v25	InternViT	44	hidden_state_044	0.4708023543990087	0.3190830235439901	0.5825588599752168	4
internvit_6b_v25	InternViT	45	hidden_state_045	0.4958856102850062	0.34316914498141265	0.6140799256505577	4
internvit_6b_v25	InternViT	46	pooler_output	0.4958856102850062	0.34316914498141265	0.6140799256505577	4
resnet101	ResNet	0	hidden_state_000	0.10476688351920693	0.05049566294919456	0.16209727385377945	4
resnet101	ResNet	1	hidden_state_001	0.6374302973977695	0.5432930607187113	0.7383828996282528	4
resnet101	ResNet	2	hidden_state_002	0.8667324969021066	0.8345724907063197	0.9062887236679059	4
resnet101	ResNet	3	hidden_state_003	0.6566372366790583	0.5000774473358116	0.7506195786864932	4
resnet101	ResNet	4	hidden_state_004	0.5251316604708798	0.40559169764560093	0.6370817843866171	4
resnet101	ResNet	5	canonical_embedding	0.5251316604708798	0.40559169764560093	0.6370817843866171	4
resnet152	ResNet	0	hidden_state_000	0.09136849442379182	0.03934324659231722	0.15582403965303593	4
resnet152	ResNet	1	hidden_state_001	0.5248799566294919	0.3650092936802974	0.5852695167286245	4
resnet152	ResNet	2	hidden_state_002	0.8212515489467163	0.7914343246592317	0.8376703841387857	4
resnet152	ResNet	3	hidden_state_003	0.6329383519206939	0.48443308550185876	0.7052354399008673	4
resnet152	ResNet	4	hidden_state_004	0.48880885997521684	0.39924101610904583	0.5944857496902106	4
resnet152	ResNet	5	canonical_embedding	0.48880885997521684	0.39924101610904583	0.5944857496902106	4
resnet18	ResNet	0	hidden_state_000	0.25679600371747213	0.17549566294919453	0.3603624535315985	4
resnet18	ResNet	1	hidden_state_001	0.5165350061957868	0.4521375464684015	0.6101301115241636	4
resnet18	ResNet	2	hidden_state_002	0.8358116480793061	0.7761771995043371	0.8755421313506816	4
resnet18	ResNet	3	hidden_state_003	0.7627981722428748	0.7024473358116481	0.791589219330855	4
resnet18	ResNet	4	hidden_state_004	0.7125154894671624	0.6193463444857498	0.7864776951672862	4
resnet18	ResNet	5	canonical_embedding	0.7125154894671624	0.6193463444857498	0.7864776951672862	4
resnet34	ResNet	0	hidden_state_000	0.21854670074349442	0.14552354399008674	0.30773698884758366	4
resnet34	ResNet	1	hidden_state_001	0.6356683705080546	0.6084262701363073	0.7007434944237918	4
resnet34	ResNet	2	hidden_state_002	0.8326169454770755	0.7803593556381659	0.8874690210656754	4
resnet34	ResNet	3	hidden_state_003	0.7587902726146221	0.6643432465923172	0.897459727385378	4
resnet34	ResNet	4	hidden_state_004	0.6536942379182157	0.522227385377943	0.7680452292441141	4
resnet34	ResNet	5	canonical_embedding	0.6536942379182157	0.522227385377943	0.7680452292441141	4
resnet50	ResNet	0	hidden_state_000	0.10254027261462205	0.03849132589838908	0.1801425030978934	4
resnet50	ResNet	1	hidden_state_001	0.5796933085501859	0.48110285006195785	0.6613228004956629	4
resnet50	ResNet	2	hidden_state_002	0.8411555142503098	0.8037484510532837	0.885145600991326	4
resnet50	ResNet	3	hidden_state_003	0.7129027261462205	0.5430607187112764	0.8281443618339529	4
resnet50	ResNet	4	hidden_state_004	0.614873760842627	0.48156753407682773	0.7558859975216853	4
resnet50	ResNet	5	canonical_embedding	0.614873760842627	0.48156753407682773	0.7558859975216853	4
resnext101_32x8d	ResNeXt	0	feature_map_000	0.04127942998760842	0.03810408921933086	0.0442998760842627	4
resnext101_32x8d	ResNeXt	1	feature_map_001	0.7986950123915737	0.7654120198265181	0.8621437422552664	4
resnext101_32x8d	ResNeXt	2	feature_map_002	0.8899086121437423	0.8579615861214375	0.9582558859975218	4
resnext101_32x8d	ResNeXt	3	feature_map_003	0.7208798017348204	0.6425030978934324	0.8385997521685254	4
resnext101_32x8d	ResNeXt	4	feature_map_004	0.5189745972738538	0.3271375464684015	0.655359355638166	4
resnext50_32x4d	ResNeXt	0	feature_map_000	0.018664807930607187	0.0023234200743494546	0.04437732342007433	4
resnext50_32x4d	ResNeXt	1	feature_map_001	0.5835075898389095	0.4524473358116481	0.6734820322180917	4
resnext50_32x4d	ResNeXt	2	feature_map_002	0.844408302354399	0.82659541511772	0.8737608426270137	4
resnext50_32x4d	ResNeXt	3	feature_map_003	0.7125735749690211	0.554135687732342	0.8693463444857498	4
resnext50_32x4d	ResNeXt	4	feature_map_004	0.6034696406443618	0.4793990086741016	0.7253717472118959	4
