family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
DINOv3	dinov3_vith16plus	scc	0.8003020446096654	0.04152280605148371	44.125	4	18	block_018	0.700046468401487	6
FastViT	fastvit_t8	scc	0.8590845724907064	0.056158918441822504	31.25	4	3	feature_map_003	0.8262081784386617	1
FastViT	fastvit_s12	scc	0.7951905204460967	0.05055174252229283	41.25	4	3	feature_map_003	0.7367565055762082	2
FastViT	fastvit_ma36	scc	0.7721886617100372	0.088150677037425	43.0	4	2	feature_map_002	0.7721886617100372	3
FastViT	fastvit_sa12	scc	0.7333875464684014	0.09397214597689899	48.25	4	3	feature_map_003	0.6700743494423791	4
FastViT	fastvit_t12	scc	0.7243262081784387	0.11475455011812252	49.25	4	3	feature_map_003	0.664614312267658	5
FastViT	fastvit_sa24	scc	0.6648466542750929	0.12055007457107172	55.25	4	2	feature_map_002	0.6253485130111525	6
FastViT	fastvit_sa36	scc	0.648118029739777	0.12307696952029684	56.0	4	3	feature_map_003	0.5537871747211895	7
FastViTHD	fastvithd_05b	scc	0.9931459107806692	0.004662786301205772	4.25	4	44	image_embeddings	0.9931459107806692	1
FastViTHD	fastvithd_15b	scc	0.991868029739777	0.006989595240005279	4.5	4	44	image_embeddings	0.991868029739777	2
FastViTHD	fastvithd_7b	scc	0.9666589219330854	0.010963859660119018	15.25	4	45	canonical_embedding	0.9666589219330854	3
I-JEPA	ijepa_vith14	scc	0.8546700743494424	0.09107176916148547	35.375	4	7	hidden_state_007	0.7552276951672863	1
InternViT	internvit_6b_v25	scc	0.48036710037174724	0.27411126221938303	59.5	4	45	hidden_state_045	0.47153810408921937	1
InternViT	internvit_300m_v25	scc	0.43761617100371747	0.1889640203272963	63.75	4	7	hidden_state_007	0.3657063197026022	2
InternViT	internvit_300m	scc	0.38731412639405205	0.23130565803966635	63.875	4	8	hidden_state_008	0.3364312267657993	3
MAE	vit_mae_base	scc	0.7940288104089219	0.06211868988387683	42.0	4	11	hidden_state_011	0.7908921933085502	1
MAE	vit_mae_large	scc	0.7752091078066914	0.08736947710025739	43.25	4	20	hidden_state_020	0.762546468401487	2
MAE	vit_mae_huge	scc	0.7314126394052045	0.11761417711034264	46.75	4	22	hidden_state_022	0.708410780669145	3
ResNeXt	resnext101_32x8d	scc	0.889753717472119	0.06564422431818781	27.25	4	3	feature_map_003	0.881389405204461	1
ResNeXt	resnext50_32x4d	scc	0.8697723048327137	0.05484391129916396	31.75	4	3	feature_map_003	0.8148234200743494	2
ResNet	resnet18	scc	0.9483039033457249	0.04798453117192271	12.0	4	4	hidden_state_004	0.943424721189591	1
ResNet	resnet34	scc	0.9365706319702602	0.06281017132647869	14.5	4	3	hidden_state_003	0.9258828996282528	2
ResNet	resnet50	scc	0.8478159851301115	0.08567373271843227	35.625	4	4	hidden_state_004	0.8450278810408922	3
ResNet	resnet101	scc	0.7791589219330854	0.08407209738676492	43.875	4	2	hidden_state_002	0.722932156133829	4
