joint_rank	quality_rank	model_key	family	global_quality_score	quality_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_layer_quality	layer_dataset_count	dataset_wins	coverage_frac	headline_eligible	global_alignment_score	global_best_layer_alignment	joint_score
11	11	siglip_large	SigLIP	0.8960619426708806	0.037205302557706446	16.75	4	11	hidden_state_011	0.7731388923061815	4	0	1.0	True	0.9255523011481441	hidden_state_008	0.9108071219095124
12	8	internvit_300m	InternViT	0.9197252034530549	0.050732039300459324	12.0	4	5	hidden_state_005	0.8221015068031114	4	0	1.0	True	0.8968154360033036	hidden_state_009	0.9082703197281792
13	13	clip_vit_b32	CLIP	0.8826551468533447	0.0871952352436138	20.5	4	5	hidden_state_005	0.684242131510215	4	0	1.0	True	0.9305039997789806	hidden_state_004	0.9065795733161626
14	15	vit_tiny	ViT	0.8689541460154974	0.061231393562443656	17.5	4	5	block_005	0.7885229288965682	4	0	1.0	True	0.9373001050255727	block_003	0.9031271255205351
15	14	vit_small	ViT	0.8781609165648097	0.044683505625305764	19.5	4	2	block_002	0.7251209915278637	4	0	1.0	True	0.9214877690676531	block_003	0.8998243428162314
16	17	vit_mae_large	MAE	0.8465308711236075	0.06988595793101914	18.75	4	4	hidden_state_004	0.773152838675447	4	0	1.0	True	0.9456426975345483	hidden_state_008	0.8960867843290778
17	19	vit_mae_huge	MAE	0.8210794724436281	0.10457337813906588	19.75	4	9	hidden_state_009	0.7497610244397676	4	1	1.0	True	0.9216213994214909	hidden_state_007	0.8713504359325595
18	23	vit_huge	ViT	0.7803806621286237	0.11609568609364415	26.75	4	10	hidden_state_010	0.7166138695226987	4	0	1.0	True	0.8863557683748862	hidden_state_010	0.833368215251755
19	18	siglip_base	SigLIP	0.8397616370291102	0.07464572363429664	20.5	4	1	hidden_state_001	0.6958498104328427	4	0	1.0	True	0.8027908310570163	hidden_state_002	0.8212762340430633
20	21	fastvit_sa24	FastViT	0.804706300836747	0.08936914588897547	27.5	4	2	feature_map_002	0.6492893155847792	4	0	1.0	True	0.8328775870160159	feature_map_002	0.8187919439263814
21	20	fastvit_ma36	FastViT	0.8119470691897798	0.09361375032630463	25.5	4	1	feature_map_001	0.5949648171053137	4	0	1.0	True	0.8100625764660968	feature_map_001	0.8110048228279383
22	25	dino_vitb8	DINO	0.7733084253371145	0.11263886776647015	27.75	4	4	hidden_state_004	0.6642598832591864	4	0	1.0	True	0.8473669957104699	hidden_state_006	0.8103377105237922
23	36	vit_mae_base	MAE	0.709068055322863	0.099266180582969	38.0	4	3	hidden_state_003	0.6322975473631643	4	0	1.0	True	0.8773580254682725	hidden_state_003	0.7932130403955677
