family	model_key	corr_metric	global_metric_score	metric_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_layer_score	family_rank
DINO	dino_vits8	scc	0.8446262107223089	0.13408368417067332	26.375	8	5	hidden_state_005	0.7516875171671015	1
DINO	dino_vitb8	scc	0.8289132096251906	0.11655844451111011	30.0	8	3	hidden_state_003	0.7096276828718587	2
DINO	dino_vits16	scc	0.8155087157502205	0.15300786083790266	29.875	8	5	hidden_state_005	0.6948775109578516	3
DINO	dino_vitb16	scc	0.7955933679654977	0.175844461183477	32.3125	8	4	hidden_state_004	0.6781940356449052	4
DINOv2	dinov2_base	scc	0.9223627114666413	0.0389073025340069	17.5	8	3	hidden_state_003	0.7616865061699639	1
DINOv2	dinov2_giant	scc	0.8939488728911293	0.04841969461995736	22.6875	8	10	hidden_state_010	0.6807811731248462	2
DINOv2	dinov2_small	scc	0.8898124644311318	0.08751721089717382	23.3125	8	4	hidden_state_004	0.7693595530237124	3
DINOv2	dinov2_large	scc	0.8742546894525197	0.11098556925378525	25.0	8	20	hidden_state_020	0.6724276707458694	4
DINOv3	dinov3_vith16plus	scc	0.825310964655946	0.09374318305928464	30.4375	8	18	block_018	0.6324959403154391	1
DINOv3	dinov3_vitl16	scc	0.8111959798060115	0.0770907108271268	32.4375	8	11	block_011	0.6523752094399513	2
DINOv3	dinov3_vits16plus	scc	0.7860489235761098	0.11205415813277922	34.5	8	6	block_006	0.5965242611024059	3
DINOv3	dinov3_vitb16	scc	0.784544142003111	0.08604963939575594	36.6875	8	0	block_000	0.5416886587317356	4
DINOv3	dinov3_vits16	scc	0.7679952651144244	0.10022916178319205	38.5625	8	6	block_006	0.5937881691357214	5
FastViT	fastvit_ma36	scc	0.7883719520711077	0.09183528451133774	35.0	8	2	feature_map_002	0.6096525242718778	1
FastViT	fastvit_sa24	scc	0.7260558482423765	0.12421530090386096	42.8125	8	2	feature_map_002	0.6329447887628226	2
FastViT	fastvit_sa12	scc	0.6940485760539503	0.10288314741788936	47.125	8	2	feature_map_002	0.5530955505647713	3
FastViT	fastvit_s12	scc	0.6887503370866107	0.1262714459514257	47.25	8	0	feature_map_000	0.49689339495311385	4
FastViT	fastvit_t8	scc	0.6745060233047803	0.2123390002596505	48.625	8	3	feature_map_003	0.492691404750485	5
FastViT	fastvit_t12	scc	0.6658849256942964	0.10791569683826982	51.875	8	3	feature_map_003	0.45009803907371526	6
FastViT	fastvit_sa36	scc	0.6132755280775103	0.1102882270252729	56.0	8	2	feature_map_002	0.4612329901295471	7
FastViTHD	fastvithd_15b	scc	0.8782776862297543	0.17264170139991847	17.8125	8	41	block_041	0.7237035245632194	1
FastViTHD	fastvithd_05b	scc	0.8753448443148799	0.17703703283405484	18.0	8	41	block_041	0.7001474782243791	2
FastViTHD	fastvithd_7b	scc	0.8522520213670913	0.1753085763912207	25.5	8	45	canonical_embedding	0.6495349341747394	3
I-JEPA	ijepa_vith14	scc	0.8152925112039965	0.108319164226006	31.5625	8	22	hidden_state_022	0.5925805774093501	1
InternViT	internvit_6b_v25	scc	0.7358885726115327	0.32077733394705077	31.0	8	44	hidden_state_044	0.632602284072999	1
InternViT	internvit_300m_v25	scc	0.7030091468979678	0.2978794854741454	34.125	8	7	hidden_state_007	0.607713484276485	2
InternViT	internvit_300m	scc	0.6589556983901305	0.31865346661565297	38.0625	8	7	hidden_state_007	0.5743447348072925	3
MAE	vit_mae_large	scc	0.816492653276866	0.08941433610365075	30.875	8	13	hidden_state_013	0.6531813547539618	1
MAE	vit_mae_huge	scc	0.7833351791333185	0.11950902220330697	32.375	8	18	hidden_state_018	0.6557473867635921	2
MAE	vit_mae_base	scc	0.7621926885659643	0.08245459238942403	37.875	8	8	hidden_state_008	0.6087909585762702	3
ResNeXt	resnext101_32x8d	scc	0.7769709127896272	0.13824455452512469	36.5	8	3	feature_map_003	0.6425773684699242	1
ResNeXt	resnext50_32x4d	scc	0.7133484678178056	0.174359933144238	44.25	8	2	feature_map_002	0.6073330548801893	2
ResNet	resnet18	scc	0.7981653450855343	0.16741763425342143	27.875	8	2	hidden_state_002	0.650786386482627	1
ResNet	resnet34	scc	0.7844454560025447	0.17145364126692622	31.25	8	3	hidden_state_003	0.6049943917381374	2
ResNet	resnet50	scc	0.70342555233934	0.17830592865448258	44.0	8	2	hidden_state_002	0.5966195624453907	3
ResNet	resnet152	scc	0.6806490391056458	0.09744376352495107	49.5	8	2	hidden_state_002	0.5733291115743251	4
ResNet	resnet101	scc	0.6750481466514813	0.14969343539387261	47.3125	8	2	hidden_state_002	0.582935829599653	5
SigLIP	siglip_base	scc	0.8884338379039329	0.07835455970689294	19.125	8	4	hidden_state_004	0.7175492999060314	1
SigLIP	siglip_large	scc	0.8837188863443182	0.06619574837951701	24.375	8	12	hidden_state_012	0.7716047670259489	2
SigLIP	siglip_so400m	scc	0.8810698555201242	0.14925538700899296	22.4375	8	12	hidden_state_012	0.6567225114972952	3
SigLIP2	siglip2_base_naflex	scc	0.5847604327870938	0.31802867638332744	49.4375	8	1	pooler_output	0.5815657301848632	1
SigLIP2	siglip2_large	scc	0.5405464408497339	0.20324061314511255	59.1875	8	1	pooler_output	0.5134205114817042	2
SigLIP2	siglip2_base	scc	0.5386447238256672	0.3226698138882004	55.25	8	1	pooler_output	0.5052063776941087	3
SigLIP2	siglip2_so400m	scc	0.42782923720151866	0.18148698091658616	64.75	8	1	pooler_output	0.4248087911048644	4
Swin	swin_tiny	scc	0.6384611181373199	0.11226133443212166	54.625	8	3	hidden_state_003	0.5465925930948139	1
Swin	swin_small	scc	0.6015918764553453	0.11478729064555174	53.625	8	3	hidden_state_003	0.4729680615796933	2
Swin	swin_base	scc	0.5991870567206812	0.1744991428371977	51.625	8	3	hidden_state_003	0.4451062575362197	3
Swin	swin_large	scc	0.5625346475895512	0.1355948509114869	56.8125	8	3	hidden_state_003	0.45394447727745635	4
SwinV2	swinv2_tiny	scc	0.5756370782199474	0.13960404357006642	58.5	8	3	hidden_state_003	0.4366294640998343	1
SwinV2	swinv2_large	scc	0.5612098523459836	0.22863143487548848	52.5	8	3	hidden_state_003	0.4221241181452401	2
SwinV2	swinv2_small	scc	0.5508956774699748	0.16797285173225274	56.375	8	3	hidden_state_003	0.39917643034890565	3
SwinV2	swinv2_base	scc	0.5003049910595785	0.16160499468201397	62.0	8	2	hidden_state_002	0.4020824074164558	4
VGG	vgg19_bn	scc	0.8191421202153798	0.1348837722652306	27.0625	8	5	feature_map_005	0.557224438772055	1
VGG	vgg16	scc	0.7985661996138019	0.1700137197685728	27.3125	8	3	feature_map_003	0.6326162852923491	2
VGG	vgg16_bn	scc	0.7912370480901737	0.15310981607710397	31.75	8	5	feature_map_005	0.5700909738329241	3
VGG	vgg13	scc	0.7790980112313561	0.17403442293929927	31.875	8	3	feature_map_003	0.624281340655135	4
VGG	vgg19	scc	0.7728925623306325	0.19292619775171277	31.9375	8	2	feature_map_002	0.6291274696556706	5
VGG	vgg11	scc	0.767543478590523	0.20247896843145402	33.75	8	5	feature_map_005	0.6214692806524114	6
VGG	vgg13_bn	scc	0.7575353437059928	0.19621225452342667	36.9375	8	5	feature_map_005	0.5639657478021579	7
VGG	vgg11_bn	scc	0.757174042591605	0.20965693436450034	34.875	8	5	feature_map_005	0.5857022644510151	8
ViT	vit_tiny	scc	0.9071632627896811	0.07357295785438032	18.625	8	3	block_003	0.6768214722355168	1
ViT	vit_small	scc	0.8796157572036744	0.05320570365677158	24.75	8	3	block_003	0.6955862357211288	2
ViT	vit_huge	scc	0.8107008595266918	0.13263451797899156	31.0	8	7	hidden_state_007	0.6926661819094897	3
ViT	vit_base	scc	0.7391370051136421	0.12654649829778758	41.9375	8	3	hidden_state_003	0.5571362778005577	4
ViT	vit_large	scc	0.7348030030038224	0.14843245375319936	41.1875	8	20	hidden_state_020	0.5814425056220616	5
