alignment_rank	model_key	family	global_alignment_score	alignment_score_std	mean_dataset_rank	dataset_count	global_best_layer_index	global_best_layer	global_best_alignment	layer_dataset_count	coverage_frac	headline_eligible	matched_layer_index	matched_layer_name	selected_flops	profile_input_height	profile_input_width	profile_layer_index	profile_layer_name	flops_join_mode	full_flops	profiled_layer_count	selected_to_full_ratio	flops_saved_ratio	selected_flops_g	full_flops_g	layer_name_match
47	fastvit_sa12	FastViT	0.6995900632670571	0.052962266027239274	39.875	8	1	feature_map_001	0.6971454680697203	8	1.0	True	1.0	feature_map_001	1317011456.0	256.0	256.0	1.0	feature_map_001	index	3884253184.0	4.0	0.3390642663112251	0.6609357336887749	1.317011456	3.884253184	True
48	dino_vits16	DINO	0.695972025996261	0.12024750415903507	43.75	8	5	hidden_state_005	0.6792852204633422	8	1.0	True	5.0	hidden_state_005	3899518464.0	224.0	224.0	5.0	hidden_state_005	index	9196996608.0	14.0	0.42399911951777897	0.576000880482221	3.899518464	9.196996608	True
49	vit_large	ViT	0.6855533549713381	0.16779795117282123	47.125	8	4	hidden_state_004	0.649102071682919	8	1.0	True	4.0	hidden_state_004	20774797312.0	224.0	224.0	4.0	hidden_state_004	index	123107377152.0	26.0	0.16875347190891307	0.8312465280910869	20.774797312	123.107377152	True
50	convnext_base	ConvNeXt	0.6854064546534806	0.08284321192194526	46.125	8	1	hidden_state_001	0.6854064546534806	8	1.0	True	1.0	hidden_state_001	2622799872.0	224.0	224.0	1.0	hidden_state_001	index	30707410944.0	6.0	0.08541260208433415	0.9145873979156658	2.622799872	30.707410944	True
51	dinov3_vits16plus	DINOv3	0.6727736782908906	0.03998134693804388	48.0	8	2	block_002	0.6401886283539284	8	1.0	True	2.0	block_002	4159554048.0	256.0	256.0	2.0	block_002	index	16185231360.0	13.0	0.2569968853383138	0.7430031146616862	4.159554048	16.18523136	True
52	convnext_small	ConvNeXt	0.670766135697372	0.043008128801551866	48.75	8	1	hidden_state_001	0.6681038835288466	8	1.0	True	1.0	hidden_state_001	1504677888.0	224.0	224.0	1.0	hidden_state_001	index	17365888512.0	6.0	0.08664560335972747	0.9133543966402725	1.504677888	17.365888512	True
53	vgg11	VGG	0.6652859339928537	0.08799083794727336	47.25	8	2	feature_map_002	0.641787597456521	8	1.0	True	2.0	feature_map_002	7572160512.0	224.0	224.0	2.0	feature_map_002	index	14970912768.0	6.0	0.5057915057915058	0.4942084942084942	7.572160512	14.970912768	True
54	fastvit_s12	FastViT	0.6567495990845023	0.05769652786252529	49.375	8	0	feature_map_000	0.6116632807165304	8	1.0	True	0.0	feature_map_000	700448768.0	256.0	256.0	0.0	feature_map_000	index	3597139968.0	4.0	0.19472380119516106	0.8052761988048389	0.700448768	3.597139968	True
55	swinv2_tiny	SwinV2	0.6511609681555114	0.06595260890566881	47.625	8	2	hidden_state_002	0.6511609681555114	8	1.0	True	2.0	hidden_state_002	4271597568.0	256.0	256.0	2.0	hidden_state_002	index	11877844992.0	6.0	0.35962732051790697	0.640372679482093	4.271597568	11.877844992	True
56	dinov3_vits16	DINOv3	0.6509725448049707	0.052663621646550994	51.125	8	3	block_003	0.6245570730000242	8	1.0	True	3.0	block_003	4264187904.0	256.0	256.0	3.0	block_003	index	12490573824.0	13.0	0.3413924743638744	0.6586075256361257	4.264187904	12.490573824	True
