dataset	family	model_key	corr_metric	layer_index	layer_name	metric_score	raw_value_mean	family_rank
TID2013	InternViT	internvit_300m_v25	pcc	18	hidden_state_018	0.3659386617100372	0.42483652012346795	2
TID2013	InternViT	internvit_300m	pcc	18	hidden_state_018	0.2400092936802974	0.359086550870099	3
TID2013	MAE	vit_mae_large	pcc	23	hidden_state_023	0.8947490706319703	0.6008298272181497	1
TID2013	MAE	vit_mae_base	pcc	11	hidden_state_011	0.8468866171003717	0.5894007897537297	2
TID2013	MAE	vit_mae_huge	pcc	28	hidden_state_028	0.8399163568773234	0.5877542422403332	3
TID2013	ResNeXt	resnext101_32x8d	pcc	3	feature_map_003	0.9307620817843866	0.6090623615473976	1
TID2013	ResNeXt	resnext50_32x4d	pcc	3	feature_map_003	0.8048327137546468	0.5798534440032421	2
TID2013	ResNet	resnet18	pcc	4	hidden_state_004	0.9047397769516728	0.6005274895473826	1
TID2013	ResNet	resnet34	pcc	3	hidden_state_003	0.8938197026022305	0.5978197360310753	2
TID2013	ResNet	resnet50	pcc	4	hidden_state_004	0.7948420074349443	0.5777470874569873	3
TID2013	ResNet	resnet152	pcc	3	hidden_state_003	0.7595260223048328	0.5702291918699922	4
TID2013	ResNet	resnet101	pcc	3	hidden_state_003	0.7353624535315986	0.5650088853099887	5
TID2013	SigLIP	siglip_base	pcc	12	hidden_state_012	0.9309944237918215	0.6079305891487987	1
TID2013	SigLIP	siglip_so400m	pcc	27	hidden_state_027	0.9135687732342007	0.603618453022765	2
TID2013	SigLIP	siglip_large	pcc	24	hidden_state_024	0.8759293680297398	0.5946148517805658	3
TID2013	SigLIP2	siglip2_base	pcc	1	pooler_output	0.8894052044609665	0.5965969799222256	1
TID2013	SigLIP2	siglip2_base_naflex	pcc	1	pooler_output	0.841542750929368	0.5872862842919999	2
TID2013	SigLIP2	siglip2_so400m_naflex	pcc	1	pooler_output	0.8185408921933085	0.581933339439116	3
TID2013	SigLIP2	siglip2_large	pcc	1	pooler_output	0.7939126394052045	0.5772154801735355	4
TID2013	SigLIP2	siglip2_so400m	pcc	1	pooler_output	0.662639405204461	0.5415719804769903	5
TID2013	Swin	swin_tiny	pcc	3	hidden_state_003	0.779042750929368	0.5760467006313785	1
TID2013	Swin	swin_large	pcc	3	hidden_state_003	0.6691449814126395	0.5441280406223363	2
TID2013	Swin	swin_small	pcc	3	hidden_state_003	0.6591542750929368	0.5404040595439142	3
TID2013	Swin	swin_base	pcc	3	hidden_state_003	0.6117565055762082	0.5258767806426554	4
TID2013	SwinV2	swinv2_tiny	pcc	3	hidden_state_003	0.7446561338289963	0.5673576692864961	1
TID2013	SwinV2	swinv2_large	pcc	3	hidden_state_003	0.662639405204461	0.5417591133000083	2
TID2013	SwinV2	swinv2_small	pcc	3	hidden_state_003	0.6428903345724907	0.535620489580569	3
TID2013	SwinV2	swinv2_base	pcc	5	canonical_embedding	0.5295074349442379	0.49630998290322703	4
TID2013	VGG	vgg16	pcc	5	feature_map_005	0.949814126394052	0.6176122315785291	1
TID2013	VGG	vgg19	pcc	5	feature_map_005	0.9405204460966543	0.613961265138477	2
TID2013	VGG	vgg19_bn	pcc	5	feature_map_005	0.9370353159851301	0.6116861505698663	3
TID2013	VGG	vgg11_bn	pcc	5	feature_map_005	0.9319237918215614	0.6118233743423236	4
TID2013	VGG	vgg11	pcc	5	feature_map_005	0.9300650557620818	0.6127396358207433	5
